City_ID,City,Lat,Lon,Temp,Humidity,Cloudiness,Windspeed,Country
325,Ginir,7.1333,40.7,61.92,38,9,2.37,ET
326,Bazarnye Mataki,54.8833,49.9333,10.65,96,100,12.97,RU
327,West Bay,19.3667,-81.4167,83.12,58,40,14.97,KY
328,Ibrā’,22.6906,58.5334,58.86,87,0,0.65,OM
329,Los Llanos de Aridane,28.6585,-17.9182,56.12,59,0,19.57,ES
330,San Patricio,28.017,-97.5169,75.42,83,90,20.71,US
331,Mogadishu,2.0371,45.3438,77.77,83,2,20.89,SO
332,Ambanja,-13.6833,48.45,74.62,89,100,3.87,MG
333,Kondinskoye,59.6481,67.41,-18.13,88,44,7.38,RU
334,São Miguel do Araguaia,-13.275,-50.1628,73.63,95,81,4.21,BR
335,Escárcega,18.6089,-90.7454,91.85,35,46,7.83,MX
336,Nkhata Bay,-11.6066,34.2907,73.4,82,88,4.07,MW
337,Nizhnyaya Tura,58.6293,59.8118,-5.24,91,100,6.67,RU
338,Porbandar,21.6422,69.6093,71.51,89,0,6.38,IN
339,Nome,64.5011,-165.4064,-5.8,65,1,4.43,US
340,East London,-33.0153,27.9116,70.93,83,70,13.04,ZA
341,Udachny,66.4167,112.4,-26.18,80,100,2.66,RU
342,Cavalcante,-13.7975,-47.4583,68.99,91,93,2.48,BR
343,Lubango,-14.9172,13.4925,60.71,69,0,1.16,AO
345,Stavern,59.0,10.0333,39.24,65,0,6.91,NO
346,Menongue,-14.6585,17.691,62.89,90,63,3.2,AO
347,Assiniboia,49.6334,-105.9845,-0.4,60,100,10.36,CA
348,Pochutla,15.7432,-96.4661,86.0,58,40,11.5,MX
349,Skjervøy,70.0311,20.9714,39.2,91,97,21.7,NO
350,Jayuya,18.2186,-66.5916,72.21,89,79,8.99,PR
351,Sheridan,44.8333,-106.9173,26.15,80,90,16.11,US
352,Bridgetown,13.1,-59.6167,80.6,57,40,25.32,BB
353,Zhigansk,66.7697,123.3711,-26.57,83,100,10.94,RU
354,Saskylakh,71.9167,114.0833,-29.67,77,31,1.68,RU
355,At-Bashi,41.1702,75.8106,0.7,79,63,1.88,KG
356,San Cristobal,7.7669,-72.225,73.69,72,99,1.34,VE
357,Torquay,50.4638,-3.5143,40.1,86,0,4.0,GB
358,Mayumba,-3.432,10.6554,79.59,85,96,6.67,GA
359,Pizarro,4.9533,-77.366,80.8,82,89,4.09,CO
360,College,64.8569,-147.8028,12.33,85,90,4.21,US
361,Inhambane,-23.865,35.3833,72.7,77,92,10.8,MZ
362,Busembatia,0.7697,33.6131,69.19,74,25,1.59,UG
363,Camaçari,-12.6975,-38.3242,82.4,69,40,11.5,BR
364,Dahuk,36.8695,42.994,44.94,58,0,3.2,IQ
365,Bowen,-20.0167,148.2333,77.0,94,90,10.36,AU
366,Margate,51.3813,1.3862,41.99,86,0,9.44,GB
367,Sittwe,20.15,92.9,68.22,91,8,5.3,MM
368,Santa Cruz de Barahona,18.2085,-71.1008,84.2,70,40,20.71,DO
